permit_group,agency,agency_id,wilderness_area,jurisdiction,permit_type,quota_required,quota_season_start,quota_season_end,reservation_window_days,reservation_method,fee_notes,apply_url,notes,interagency_note,excludes,source_last_updated,verified_date,log_entry_ids
none,,,,CA,No wilderness permit required,no,,,0,None — no wilderness permit is issued for this area.,Free,,Day hikers to non-wilderness peaks generally need nothing else.,,,,,none-2026-07-22-01; none-2026-09-12-01; none-2026-09-12-02; none-2026-09-12-03; none-2026-09-12-04
hoover,Humboldt-Toiyabe NF (Bridgeport Ranger District),humboldt_toiyabe_nf,,CA,Hoover Wilderness Permit,yes,06-15,10-15,182,"For each quota'd trailhead, 50% of the quota is reservable on recreation.gov starting 6 months before entry (printable up to 7 days before entry); the remaining 50% opens 3 days before entry, printable immediately. Online purchase only -- no phone or in-person reservations. Trip leader must carry a signed physical (printed) copy for the whole trip.",$8/person ages 13+ (12 and under free) plus $6 non-refundable service fee per permit; recreation fee refundable only if cancelled 14+ days before entry,https://www.fs.usda.gov/r04/humboldt-toiyabe/permits/hoover-wilderness-permits,"Quota'd trailheads on the Humboldt-Toiyabe (Bridgeport RD) portion only: Buckeye Creek, Green Creek, Horse Creek, Leavitt Meadows, Little Slide Canyon, Robinson Creek (the trail out of Twin Lakes/Mono Village), and Virginia Lakes. A permit is required year-round for overnight stays even outside the Jun 15 - Oct 15 quota window, but the source does not state the off-season issuance method -- call the Bridgeport Ranger District (760-932-7070, Mon-Fri 8:30am-4pm PST) rather than assuming free self-issue.","Confirmed: a Hoover Wilderness permit is honored for continuous travel into Yosemite National Park, Inyo National Forest, or Stanislaus National Forest without a separate permit -- 'with exceptions' per the source (e.g. the stricter 8-person/no-stock Sawtooth Ridge Zone cap still applies, and each area's own group-size/food-storage/campfire rules must still be followed). Applies e.g. to Twin Lakes via Robinson Creek/Peeler Lake/Rock Island Pass into Kerrick Canyon for Tower Peak.",,2026-04-29,2026-07-22,hoover-2026-07-22-01; hoover-2026-07-22-02
inyo_jmw_aaw,Inyo National Forest,inyo_nf,,CA,Inyo NF Wilderness Permit (John Muir / Ansel Adams / Golden Trout-Inyo / Hoover-Inyo entries),yes,05-01,11-01,182,"60% of each trailhead's daily quota reservable on recreation.gov starting 6 months (7am Pacific) before entry; remaining 40% released 2 weeks before entry, same release time. Reservations can be made up to the day of the trip if quota space remains; cancelled permits return space to the calendar within 24 hours.",$6/permit + $5/person ($15/person if the trip enters or exits via the Mt. Whitney Zone),https://www.recreation.gov/permits/233262,"Inyo NF issues permits for the John Muir, Ansel Adams, Hoover and Golden Trout Wildernesses, so it administers part of Hoover alongside Humboldt-Toiyabe NF. Popular trailheads (Kearsarge Pass, Bishop Pass, Rush Creek, Cottonwood) can sell out within minutes of release. Outside May 1 - Nov 1 permits are free/self-issue, no reservation needed.","Honored for continuous travel into neighboring parks: Yosemite NP (Tioga Pass, Saddlebag Lake, Virginia Lakes, Walker Lake/Bloody Canyon corridors) and Sequoia & Kings Canyon NP (Taboose, Sawmill, Baxter, Shepherd Pass, Kearsarge Pass, Cottonwood Pass corridors) — no separate NPS permit needed. Per the official page: this requires *continuous* wilderness travel: a break (exiting to town and re-entering elsewhere) requires a new permit from the agency where the next section starts, except a reasonable resupply break for long-distance through-hikers.",,2026-07-08,2026-07-23,inyo_jmw_aaw-2026-07-22-01; inyo_jmw_aaw-2026-07-22-02
inyo_hoover_nonquota,Inyo National Forest,inyo_nf,,CA,Inyo NF Wilderness Permit (Hoover Wilderness portion -- non-quota),no,,,0,"Non-quota -- not part of the 6-month/2-week rolling reservation system. Presumed free self-issue at trailhead or ranger station kiosk, consistent with every other 'Non Quota--Unlimited'-labeled trail on Inyo NF's own table (e.g. Kennedy Meadows South, Trail Pass, Wildrose); NOT explicitly restated for this specific trail, so treat as an inference from the pattern rather than a direct quote.","Free (assumed, matching the self-issue pattern for other Inyo NF non-quota trails -- not explicitly confirmed for this trail)",https://www.fs.usda.gov/r05/inyo/permits/wilderness-permits,"Lundy Canyon (trail code HH01) and Saddlebag Lake (HH04) are both Inyo NF-administered (HH = Hoover Wilderness) and non-quota. Both were previously mis-tagged here -- Lundy Canyon to Humboldt-Toiyabe's quota'd hoover group, Saddlebag Lake to the quota'd inyo_jmw_aaw group. The agency and quota-status facts are unlikely to have changed, but this is the oldest source in the dataset, so re-confirm before a real trip.",Same continuous-travel reciprocity into Yosemite/Ansel Adams as the general Inyo NF permit.,Commercial guiding in this portion of Hoover Wilderness is restricted to Yosemite Mountain Guides; a wilderness permit does not authorise guided trips by anyone else. Relevant only to commercial parties.,2021-06-13,2026-07-23,inyo_hoover_nonquota-2026-07-23-01
whitney_zone,Inyo National Forest,inyo_nf,,CA,Mount Whitney Zone Permit (classic Mt. Whitney Trail only -- see notes),yes,05-01,11-01,,"Lottery on recreation.gov: apply Feb 1 - Mar 1, results published Mar 15, claim & pay the $15/person fee by Apr 21. Unclaimed dates open first-come at 7am Pacific on Apr 22. Outside the quota season (Nov 2 - Apr 30), permits are still required and still reserved online (not walk-up self-issue) but are unlimited -- reservable up to 2 weeks ahead.",$15/person lottery-claim/reservation fee; a $6 recreation.gov service fee applies as with other permits on this system (not explicitly restated on this page),https://www.recreation.gov/permits/445860,"One results date only: March 15. Daily quota is 100 people/day for Day Use permits and 60 people/day for Overnight permits. Day Use permits are valid one day only (midnight to midnight), cannot be consecutive, and cannot be combined with other permits to pass through or exit the zone.",For the OVERNIGHT Mt. Whitney Trail permit only (not Day Use): can extend for multiple nights and exit via the John Muir Trail into Yosemite National Park without a separate permit. Day Use permits explicitly cannot be combined with other permits for pass-through/exit.,"Covers the classic Mt. Whitney Trail ONLY -- Day Use or Overnight, for objectives like Mount Whitney itself and Mount Muir. It does NOT cover climbs approaching via the North Fork of Lone Pine Creek trail: the Mountaineers Route, East Face, East Buttress, or Mount Russell. Those use an ordinary Inyo NF wilderness permit instead (permit_group inyo_jmw_aaw), which is a different product with a different release mechanism, so you cannot enter the lottery and expect to be covered. MODELLING CAVEAT: this project tags the whole Whitney Portal trailhead to whitney_zone uniformly and holds no route-level data, so any peak reached by that different approach may be mismodelled here. Verify your actual route before relying on the permit type shown.",,2026-07-23,whitney_zone-2026-07-22-01; whitney_zone-2026-07-23-01; whitney_zone-2026-07-23-02
inyo_gtw,Inyo National Forest,inyo_nf,,CA,Inyo NF Wilderness Permit (Golden Trout Wilderness portion -- Cottonwood Basin/Cottonwood Pass),yes,06-26,09-15,182,"Same recreation.gov mechanics as the general Inyo NF permit: 60% of quota reservable starting 6 months before entry, remaining 40% released 2 weeks before entry. Select the Cottonwood Lakes (trail code GT39) or Cottonwood Pass (GT60) trail specifically, NOT a John Muir/Ansel Adams trail.",$6/permit + $5/person (same fee structure as the general Inyo NF permit; not independently reconfirmed for this trail specifically),https://www.recreation.gov/permits/233262,"GT-coded trails (trail code begins with GT) run the last Friday in June through September 15, not the general May 1 - Nov 1 Inyo season: Cottonwood Lakes (GT39, quota 60/day, 36/24 split) and Cottonwood Pass (GT60, quota 40/day, 24/16 split). recreation.gov's summary calendar disagrees, naming a May 1 - Nov 1 season for Cottonwood Pass; it is treated as the outlier. Outside the quota season a permit is still required, free/self-issue, but obtained from Inyo NF for this entry rather than Sequoia NF.","Same reciprocity as the general Inyo NF permit: honored for continuous travel into neighboring Golden Trout Wilderness (Sequoia NF side, self-issue) and onward per the same continuous-travel condition.",,2021-06-13,2026-07-23,inyo_gtw-2026-07-23-01; inyo_gtw-2026-07-23-02; inyo_gtw-2026-07-23-03; inyo_gtw-2026-07-23-04; inyo_gtw-2026-07-23-05
sierra_nf,Sierra National Forest,sierra_national_forest,,CA,"Sierra NF Wilderness Permit (John Muir / Ansel Adams west side, Dinkey Lakes, Kaiser)",yes,,,182,"Quotas apply year-round (no off-season exemption). 60% of the trailhead quota reservable on recreation.gov in a continuous rolling window from 6 months up to 14 days before entry (bookable until 1 day before if space remains); the other 40% is also on recreation.gov, released for shorter-notice/walk-up booking. No phone reservations. Permit must be picked up in person at the High Sierra or Bass Lake Ranger District by 10am the day of entry, unless prior arrangements are made.",$6/permit + $5/person (max 15 people per permit),https://www.fs.usda.gov/r05/sierra/permits/obtaining-wilderness-permit,"Permits and quotas are required year-round for overnight trips into the John Muir, Ansel Adams, Dinkey Lakes and Kaiser Wildernesses; day hikes need no permit.","Honored for continuous travel into Yosemite National Park via Isberg Pass (e.g. Clover Meadow/Isberg trailhead to Foerster Peak) or into Sequoia/Kings Canyon — no separate NPS permit needed, but per the official page the National Park must be listed on your itinerary when you reserve for the interagency permit to be honored there. Conversely, a National Park permit is valid on this forest's wilderness only if it's listed on that itinerary too.",,2026-01-22,2026-07-22,sierra_nf-2026-07-22-01; sierra_nf-2026-07-22-02
yosemite,Yosemite National Park,yosemite_np,,CA,Yosemite Wilderness Permit,yes,05-01,10-31,168,"60% of each week's quota is allocated by a WEEKLY LOTTERY, not simple first-come booking: for each week-long hiking-start window, the lottery application period opens Sunday 12:01am and closes the following Saturday 11:59pm, roughly 24 weeks (168 days) before that week, with results notified by Monday 5pm. Lottery-unclaimed spots from that week open first-come-first-served on recreation.gov the Friday after the application period closes, up to 3 days before entry. The remaining 40% of each week's quota becomes available on recreation.gov 7 days in advance (up to 3 days before entry), first-come.",$5/person reservation fee (not independently reconfirmed this pass),https://www.recreation.gov/permits/445859,"The 60% portion is a weekly lottery cycle rather than a rolling reservation window -- structurally closer to the Whitney Zone lottery than to Inyo's system, on a weekly rather than annual cadence. Season start is NOT a fixed May 1 park-wide: reservations open for late-April start dates in some but not all areas of the park, with per-area dates in a dataset linked from the source page that has not been retrieved here, so treat 05-01 as an approximation. Off-season permits are free, self-issue, no quota. Current window: https://www.nps.gov/yose/planyourvisit/wildpermitdates.htm","Yosemite-issued permits are likewise honored if your route continues out into neighboring Inyo, Sierra, Stanislaus or Humboldt-Toiyabe NF wilderness on the same continuous trip.",,2025-11-13,2026-07-23,yosemite-2026-07-22-01; yosemite-2026-07-23-01
seki,Sequoia & Kings Canyon National Parks,seki_nps,,CA,SEKI Wilderness Permit,yes,05-22,09-26,182,"Confirmed genuinely a simple rolling release, not a lottery (unlike Yosemite): reservations open on recreation.gov up to 6 months before entry, released daily at 7:00am Pacific. Entry point and entry date cannot be changed after booking (would need a new reservation); exit date/itinerary can be adjusted later. Permit must be PHYSICALLY PICKED UP at the trailhead's Wilderness Office/desk -- a recreation.gov confirmation email is not a valid permit. Pickup window: as early as 1pm the day before entry, no later than 10am the morning of entry; call ahead (559-565-3766) if you'll be later or the reservation is cancelled at 10am and released to walk-ups.",$15/trip + $5/person within quota season; per-person portion refundable if cancelled up to 1 week before the trip,https://www.recreation.gov/permits/445857,"Off-season permits (Sep 28 - May 21) are free, self-issue, and available 24 hours at kiosks near each trailhead. Walk-up permits with no advance reservation are available from 1pm the day before entry, same fee, paid at the station. Rae Lakes Loop, High Sierra Trail and Copper Creek sell out fast on release day.","Confirmed and broadened: 'you can generally obtain your permit for your entire itinerary from the agency where your trip begins (e.g. the Inyo, Sierra, or Sequoia national forests, or Yosemite National Park)' -- reciprocity applies to Sierra NF and Yosemite NP too, not just Inyo NF as previously noted (still applies at the shared cross-Sierra passes: Taboose, Sawmill, Baxter, Shepherd Pass, Kearsarge Pass, Cottonwood Pass). OPEN QUESTION, not yet resolved: the source specifically flags that entries via Jennie Lakes Wilderness (Sequoia NF) DO need a SEKI recreation.gov permit if the route continues into the park, via the JO Pass, Belle Canyon, or Sugarloaf entry points -- even though Jennie Lakes Wilderness itself needs no permit for use that stays within it (see the 'none' permit_group note on the Marvin Pass trailhead). Whether the SPS peaks reached from Marvin Pass (Whaleback, Glacier Ridge) actually cross into SEKI via one of those three named entry points hasn't been confirmed -- don't assume 'none' is correct for that trailhead without checking.",,2025-11-25,2026-07-23,seki-2026-07-22-01; seki-2026-07-23-01
gtw_free,Sequoia National Forest,sequoia_nf,Golden Trout Wilderness,CA,"Golden Trout / Monarch / South Sierra Wilderness Permit (free, self-issue)",no,,,0,"Confirmed via official page: ""Visitor permits (required only for overnight stays in the Golden Trout Wilderness) are available from forest offices near wilderness entry points."" Day use needs no wilderness permit.",Free,https://www.fs.usda.gov/r05/sequoia/recreation/golden-trout-wilderness,"The source's wording is 'available from forest offices near wilderness entry points'. It does not say 'free' or 'self-issue', so the self-issue framing here follows the general USFS pattern for non-quota wildernesses rather than this page; whether the offices are staffed or unstaffed kiosks is not nailed down. The page's 'June-November' Seasons of Use is a snow-free access window, not a quota season -- the wilderness is confirmed non-quota. The wilderness spans both Sequoia and Inyo NF. Ranger district contacts: Kern River RD (760-376-3781); Western Divide RD, 32588 Highway 190, Springville CA 93265, (559-539-2607), Mon-Fri 8am-4:30pm.",,"Does NOT cover entries into the Golden Trout Wilderness via Cottonwood Basin or Cottonwood Pass. Those are issued by Inyo NF on a different, quota'd permit (permit_group inyo_gtw) with its own season, so a free Sequoia NF permit will not admit you there.",2025-09-03,2026-07-23,gtw_free-2026-07-22-01; gtw_free-2026-07-23-01; gtw_free-2026-07-23-02
