source_id,publisher,url_prefix,role,regulates,notes
fs_usda,USDA Forest Service,https://www.fs.usda.gov/,regulator,regulation;permit_requirement;access,"The land manager. It writes and enforces the rules on national forest land, so it owns what you may do and whether a permit is needed. It does NOT own booking mechanics -- it hands those to recreation.gov."
nps,National Park Service,https://www.nps.gov/,regulator,regulation;permit_requirement;access,The land manager for national park units.
recreation_gov,Recreation.gov,https://www.recreation.gov/,booking_platform,booking_mechanics;fees;availability,"The system of record for reservations across agencies. It owns release windows, what it charges, change and cancellation policy, and the live quota calendar, because it is the thing that performs them. Its narrative descriptions of rules are restatements of the land manager's, not the source of them."
readyforwildfire,CAL FIRE,https://www.readyforwildfire.org/,regulator,regulation;permit_requirement,"CAL FIRE's public entry point for the California Campfire Permit, which is state law rather than a forest rule."
parks_ca,California State Parks,https://www.parks.ca.gov/,regulator,permit_requirement,Issues the Sno-Park permit required at some trailheads in winter.
cdfw,California Department of Fish and Wildlife,https://wildlife.ca.gov/,regulator,regulation,"Owns fishing and hunting seasons, limits and licensing. Both the Forest Service and recreation.gov defer to it rather than restating its rules."
desowv,Desolation Wilderness Volunteers,http://desowv.org/,secondary,,"A volunteer partner organisation. Hosts useful copies of agency documents, but owns no claim -- anything it says traces back to the Forest Service."
ebrpd,East Bay Regional Park District,https://www.ebparks.org/,regulator,regulation;access,"The land manager for 73 parks across Alameda and Contra Costa counties, and the author of Ordinance 38, which is the rulebook for all of them. It does NOT own booking: EBRPD campsites are reserved through ReserveAmerica and the District's own phone line, so fees, availability and cancellation terms are that platform's to state, not this publisher's."
ebmud,East Bay Municipal Utility District,https://www.ebmud.com/,regulator,regulation;permit_requirement;access,"A water utility, not a park agency, and the land manager for watershed lands the East Bay regional trails cross. It reaches this project because EBRPD's own Ordinance 38 defers to it: on trails entering lands owned by others, EBRPD names EBMUD first. It owns the trail use permit and its rules; it does not own EBRPD's."
reserveamerica,ReserveAmerica,https://www.reserveamerica.com/,booking_platform,booking_mechanics;fees;availability,"EBRPD's booking platform. It is NOT a regulator: it owns booking mechanics, fees and availability, and the rules it prints are the District's, republished. Three park-scoped Black Diamond rules cite it because it is the ONLY surface that states them -- neither the park page nor Ordinance 38 mentions that park's total fire and alcohol bans -- so citing EBRPD's own page instead would be a false citation. The registry flags the mismatch rather than hiding it, which is the correct outcome: a rule known only from a platform is weaker than one from the regulator, and a reader should see that. Two subdomains are in use: www.reserveamerica.com and a1.reserveamerica.com."
reserveamerica_a1,ReserveAmerica,https://a1.reserveamerica.com/,booking_platform,booking_mechanics;fees;availability,"EBRPD's booking platform. It is NOT a regulator: it owns booking mechanics, fees and availability, and the rules it prints are the District's, republished. Three park-scoped Black Diamond rules cite it because it is the ONLY surface that states them -- neither the park page nor Ordinance 38 mentions that park's total fire and alcohol bans -- so citing EBRPD's own page instead would be a false citation. The registry flags the mismatch rather than hiding it, which is the correct outcome: a rule known only from a platform is weaker than one from the regulator, and a reader should see that. Two subdomains are in use: www.reserveamerica.com and a1.reserveamerica.com."
