regulation_id,scope_type,scope_value,category,summary,detail,citation,source_url,source_last_updated,verified_date,log_entry_ids,scope_display
ca-campfire-permit,jurisdiction,CA,fire,"A free California Campfire Permit is required before you may have a campfire, camp stove, lantern or barbeque -- but holding one does NOT mean fires are allowed where you're going. Local restrictions override it. Two different permits exist; for everywhere this project covers, take the one for federal- and state-controlled lands, not the private-lands one.","TWO PERMIT TYPES, and the wrong one is not a valid document. CAL FIRE issues one permit for federal- and state-controlled lands, covering campfires, barbeques and portable stoves, and a separate one for private lands, which additionally requires written permission from the landowner. Both carry the same caveat that local burn restrictions may apply. Every trailhead in this project sits on federal land -- national forest, national park, BLM, or the Lake Tahoe Basin Management Unit -- except two on East Bay Regional Park District land (Del Valle and Stanford Ave), which is a special district fitting neither category cleanly; which permit applies there is not confirmed. The same portal also issues permits for burning debris, which is a different product and not what a backcountry traveller needs. THE PERMIT IS A PRECONDITION, NOT AN AUTHORISATION: CAL FIRE's own guidance says to check local rules, since many areas restrict or ban campfires outright, especially at elevation or in high fire danger. Where a wilderness bans fires, the permit still matters for a camp stove. YOU MUST CARRY IT: Eldorado NF states the permit has to be available for rangers and other officials to check while you are camping, so an unproduced permit is a permit you do not have. The lantern question is settled: CAL FIRE's permits FAQ omits lanterns from its enumeration, but the campfire-safety page and Eldorado NF's own FAQ both include them, so the fuller list stands on two sources against one summary. The issuing forest states it is also required in some developed campgrounds -- being in a campground is not a reliable exemption. Free, valid for a full calendar year (January 1 to December 31), and available from CAL FIRE, US Forest Service or BLM offices as well as online. The signer must be 18 or older, so a group of minors cannot self-issue. Obtain it at readyforwildfire.org/permits, which links to the portal at permit.preventwildfiresca.org. NOTE: Eldorado NF's own camping page cites 'www.preventwildfiresca.org', which does not resolve -- readyforwildfire.org is the working entry point.",36 CFR 261.52(k); PRC 4433,https://www.readyforwildfire.org/permits/,,2026-09-12,none-2026-09-12-01; none-2026-09-12-02; none-2026-09-12-03; none-2026-09-12-04,
eldorado-dispersed-stay-limit,agency,eldorado_nf,camping,Dispersed camping outside a developed campground is limited to 10 days per ranger district per calendar year.,"Most Eldorado NF land is open to free dispersed camping unless specifically prohibited. There is no trash service -- pack it in, pack it out -- and no potable water, so bring your own rather than relying on lakes, streams or springs. Remove all equipment and garbage when leaving. Eldorado NF's FAQ confirms dispersed camping is allowed forest-wide and restates that your group is responsible for all trash and should take it home. It also says to check with a Ranger District office for fire restrictions before you go, and that a campfire permit is required for a cooking appliance, lantern or campfire even when dispersed.",,https://www.fs.usda.gov/r05/eldorado/recreation/camping-cabins,,2026-09-12,none-2026-09-12-01; none-2026-09-12-02; none-2026-09-12-03; none-2026-09-12-04,Eldorado National Forest
desolation-campfire-ban,permit_group,desolation,fire,Campfires are prohibited year-round throughout Desolation Wilderness. Camp stoves are permitted.,A stove still requires the separate California Campfire Permit that applies statewide.,,https://www.recreation.gov/permits/233261,,2026-09-12,desolation-2026-09-12-01; desolation-2026-09-12-02; desolation-2026-09-12-03; desolation-2026-09-12-09; desolation-2026-09-12-10; desolation-2026-09-12-12; desolation-2026-09-12-13,
desolation-bear-canister,permit_group,desolation,food_storage,"A hard-sided, bear-proof food storage container is REQUIRED for all food and toiletries.","The permit page states the requirement without qualifying it to overnight use, and gives no elevation or zone exception; it notes bears have become more active. It says containers ""may be available for rental"" and to contact a Forest Service permit office, without naming terms. The specific terms below come from the 2022 USFS trip-planning guide rather than the permit page, and are the older of the two sources: fines up to $5,000 for non-compliance; canisters rent free at Placerville Ranger Station, while LTBMU rents them for a $50 deposit plus a daily fee ($5 for 1-3 days, $10 for 4-7, $15 for 8-14). Confirm rental terms before relying on them.",36 CFR 261.58(cc),https://www.recreation.gov/permits/233261,,2026-09-12,desolation-2026-09-12-01; desolation-2026-09-12-02; desolation-2026-09-12-03; desolation-2026-09-12-09; desolation-2026-09-12-10; desolation-2026-09-12-12; desolation-2026-09-12-13,
desolation-group-size,permit_group,desolation,group_size,"Maximum group size is 12 people together at any time, children included in the count.","recreation.gov's booking widget enforces this as a hard cap of 12 group members per permit, and the cap is flat rather than per zone -- it reads '12 max' whichever destination zone is selected. Note what the figure is sourced to. A destination zone is the OVERNIGHT quota mechanism: you book a zone for your first night. So this confirms the overnight cap. NO SOURCE ON HAND STATES A GROUP SIZE FOR DESOLATION DAY USE, which is a separate, free, self-issued permit that is not booked through this widget. Do not assume it is also 12: neighbouring Mokelumne, administered by the same forest, caps day hikes at 12 and overnight groups at 8, so the two numbers demonstrably differ within one agency.",,https://www.recreation.gov/permits/233261,,2026-09-12,desolation-2026-09-12-01; desolation-2026-09-12-02; desolation-2026-09-12-03; desolation-2026-09-12-09; desolation-2026-09-12-10; desolation-2026-09-12-12; desolation-2026-09-12-13,
desolation-camp-setback,permit_group,desolation,camping,Camp on a durable surface at least 100 ft from any lakeshore or stream and from trails.,"Restoration sites have been closed to let damaged shorelines and meadows recover from overuse -- walk around them rather than through. Separately, four areas (Eagle Lake, Grouse and Hemlock Lakes, and the north and east sides of Lake of the Woods) allow camping only at designated sites; see data/permit_zones.csv for those zones' own rules.",,https://www.recreation.gov/permits/233261,,2026-09-12,desolation-2026-09-12-01; desolation-2026-09-12-02; desolation-2026-09-12-03; desolation-2026-09-12-07; desolation-2026-09-12-09; desolation-2026-09-12-10; desolation-2026-09-12-12; desolation-2026-09-12-13,
desolation-waste,permit_group,desolation,waste,"Human and dog waste must be packed out, or buried in a 6-8 inch cat hole at least 200 ft from water or trail. Pack out toilet paper.","Wash and clean cookware at least 200 ft from any water source. Soap of any kind, biodegradable included, is prohibited in streams, lakes and any other water source. No trash service -- pack out everything you pack in.",,https://www.recreation.gov/permits/233261,,2026-09-12,desolation-2026-09-12-01; desolation-2026-09-12-02; desolation-2026-09-12-03; desolation-2026-09-12-09; desolation-2026-09-12-10; desolation-2026-09-12-12; desolation-2026-09-12-13,
desolation-pets,permit_group,desolation,pets,"Dogs are permitted but must be under control at all times, and El Dorado County has a mandatory leash law.","The agency's stated reasons for the control requirement: dogs impact wildlife, and barking intrudes on other visitors' experience. Bury or pack out dog waste on the same terms as human waste. Worth checking against neighbouring units before a multi-wilderness trip: Yosemite bans dogs from its wilderness entirely, so a dog-legal Desolation itinerary does not generalise.",,https://www.recreation.gov/permits/233261,,2026-09-12,desolation-2026-09-12-01; desolation-2026-09-12-02; desolation-2026-09-12-03; desolation-2026-09-12-09; desolation-2026-09-12-10; desolation-2026-09-12-12; desolation-2026-09-12-13,
desolation-stock,permit_group,desolation,stock,Livestock limited to 2 per person and 12 per group; keep them 200 ft from water and 100 ft from campsites.,"Do not tie stock directly to trees except briefly while loading, unloading, or resting on the move -- highline instead. Weed-free forage only. Some trails are not recommended for stock.",,https://www.recreation.gov/permits/233261,,2026-09-12,desolation-2026-09-12-01; desolation-2026-09-12-02; desolation-2026-09-12-03; desolation-2026-09-12-09; desolation-2026-09-12-10; desolation-2026-09-12-12; desolation-2026-09-12-13,
desolation-firearms,permit_group,desolation,weapons,"Discharging a firearm within 150 yards of a campsite or occupied area is prohibited, as is any discharge that puts people or property at risk.",,,https://www.recreation.gov/permits/233261,,2026-09-12,desolation-2026-09-12-01; desolation-2026-09-12-02; desolation-2026-09-12-03; desolation-2026-09-12-09; desolation-2026-09-12-10; desolation-2026-09-12-12; desolation-2026-09-12-13,
